date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:41:15	2349/2349	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4a91-92d%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.6.0/slick-theme.min.css	C:/Users/admin/Desktop/raj/raj/apnadevfolio/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.6.0/slick-theme.min.css	(from https://rajvaya.devfolio.me/)
11:41:15	776/776	---MCZ	200	added ('OK')	text/css	etag:W/%225bd0a544-308%22	http://cdnjs.cloudflare.com/ajax/libs/highlight.js/9.13.1/styles/default.min.css	C:/Users/admin/Desktop/raj/raj/apnadevfolio/cdnjs.cloudflare.com/ajax/libs/highlight.js/9.13.1/styles/default.min.css	(from https://rajvaya.devfolio.me/)
11:41:16	47214/47214	---MCZ	200	added ('OK')	application/javascript	etag:W/%225bd0a544-b86e%22	http://cdnjs.cloudflare.com/ajax/libs/highlight.js/9.13.1/highlight.min.js	C:/Users/admin/Desktop/raj/raj/apnadevfolio/cdnjs.cloudflare.com/ajax/libs/highlight.js/9.13.1/highlight.min.js	(from https://rajvaya.devfolio.me/)
11:41:16	52/52	---M--	302	error ('Found')	text/plain	date:Tue,%2012%20Nov%202019%2006:11:17%20GMT	https://unpkg.com/aos@next/dist/aos.css	C:/Users/admin/Desktop/raj/raj/apnadevfolio/unpkg.com/aos@next/dist/aos.b.delayed	(from https://rajvaya.devfolio.me/)
11:41:17	28765/28765	---M-Z	200	added ('OK')	text/css	etag:W/%22705d-miajSdIaS4cfRd/RJKQ/raT5S5g%22	https://unpkg.com/aos@3.0.0-beta.6/dist/aos.css	C:/Users/admin/Desktop/raj/raj/apnadevfolio/unpkg.com/aos@3.0.0-beta.6/dist/aos.css	(from https://rajvaya.devfolio.me/)
11:41:17	204147/204147	---M-Z	200	added ('OK')	text/css	etag:W/%225d0eb93c-31d73%22	https://rajvaya.devfolio.me/static/css/main.c7feab95.css	C:/Users/admin/Desktop/raj/raj/apnadevfolio/rajvaya.devfolio.me/static/css/main.c7feab95.css	(from https://rajvaya.devfolio.me/)
11:41:18	69917/69917	---M-Z	200	added ('OK')	application/javascript	etag:W/%225a637bd4-1111d%22	https://code.jquery.com/jquery-3.3.1.slim.min.js	C:/Users/admin/Desktop/raj/raj/apnadevfolio/code.jquery.com/jquery-3.3.1.slim.min.js	(from https://rajvaya.devfolio.me/)
11:41:19	20337/20337	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd4a7a-4f71%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.3/umd/popper.min.js	C:/Users/admin/Desktop/raj/raj/apnadevfolio/cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.3/umd/popper.min.js	(from https://rajvaya.devfolio.me/)
11:41:19	51039/51039	---M-Z	200	added ('OK')	text/javascript	etag:%221544639634%22	https://stackpath.bootstrapcdn.com/bootstrap/4.1.3/js/bootstrap.min.js	C:/Users/admin/Desktop/raj/raj/apnadevfolio/stackpath.bootstrapcdn.com/bootstrap/4.1.3/js/bootstrap.min.js	(from https://rajvaya.devfolio.me/)
11:41:20	4178/4178	---M--	200	added ('OK')	image/gif	etag:%225afd4ad6-1052%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.6.0/ajax-loader.gif	C:/Users/admin/Desktop/raj/raj/apnadevfolio/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.6.0/ajax-loader.gif	(from https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.6.0/slick-theme.min.css)
11:41:20	2048/2048	---M--	200	added ('OK')	application/octet-stream	etag:%225afd4ad6-800%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.6.0/fonts/slick.eot	C:/Users/admin/Desktop/raj/raj/apnadevfolio/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.6.0/fonts/slick.eot	(from https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.6.0/slick-theme.min.css)
11:41:20	2048/2048	---M--	200	added ('OK')	application/octet-stream	etag:%225afd4ad6-800%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.6.0/fonts/slick.eot?	C:/Users/admin/Desktop/raj/raj/apnadevfolio/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.6.0/fonts/slickd41d.eot	(from https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.6.0/slick-theme.min.css)
11:41:20	1380/1380	---M--	200	added ('OK')	application/octet-stream	etag:%225afd4a91-564%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.6.0/fonts/slick.woff	C:/Users/admin/Desktop/raj/raj/apnadevfolio/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.6.0/fonts/slick.woff	(from https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.6.0/slick-theme.min.css)
11:41:21	1892/1892	---M--	200	added ('OK')	application/octet-stream	etag:%225afd4ad6-764%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.6.0/fonts/slick.ttf	C:/Users/admin/Desktop/raj/raj/apnadevfolio/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.6.0/fonts/slick.ttf	(from https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.6.0/slick-theme.min.css)
11:41:21	2152/2152	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225afd4ad6-868%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.6.0/fonts/slick.svg	C:/Users/admin/Desktop/raj/raj/apnadevfolio/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.6.0/fonts/slick.svg	(from https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.6.0/slick-theme.min.css)
11:41:23	3413107/3413107	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d0eb93c-341473%22	https://rajvaya.devfolio.me/static/js/main.5feb5f26.js	C:/Users/admin/Desktop/raj/raj/apnadevfolio/rajvaya.devfolio.me/static/js/main.5feb5f26.js	(from https://rajvaya.devfolio.me/)
11:41:24	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Nov%202019%2006:11:25%20GMT	https://cdnjs.cloudflare.com/robots.txt		(from https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.6.0/slick-theme.min.css)
